institution_id,district_tr,institution_name,institution_type,address,icu,n#_beds,ambulance,neighborhood_tr,latitude,longitude,district_eng,private_or_public,related_to_htourism,institution_type_eng,institution_type_abbrv_tr,institution_type_abbrv_eng,care_type
953,Bahçelievler,Hekimbaşi Ömer Aile Sağliği Merkezi,Aile Sağliği Merkezi,Mustafa Kemalpaşa Cad. No:101/1 SOÐANLI/BAHÇELİEVLER,No,0.0,,Soğanli,41.011022181000044,28.855465616000057,Bahcelievler,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
954,Bahçelievler,Diş Hekimi Mustafa Pekmezci,Muayenehane,Adnan Kahveci Bulvari No:75 BAHÇELİEVLER/BAHÇELİEVLER,,,,Bahçelievler,41.00264168800004,28.86507108800004,Bahcelievler,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
955,Ümraniye,Mahmut Karaca Aile Sağliği Merkezi,Aile Sağliği Merkezi,Krizantem Sk. No:2 İSTİKLAL/ÜMRANİYE,No,0.0,,İstiklal,41.01554322100003,29.10029738700007,Umraniye,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
956,Küçükçekmece,Özel Dental Corner Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Turgut Özal Bulvari No:24 ATAKENT/KÜÇÜKÇEKMECE,,,,Atakent,41.035340701000045,28.767269646000045,Kucukcekmece,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
957,Ümraniye,Özel Dişçim Ağiz ve Diş Sağliği Merkezi,Ağiz ve Diş Sağliği Merkezi,Alemdağ Cad. No:5/1 ATATÜRK/ÜMRANİYE,,,,Atatürk,41.02440082800007,29.084885781000022,Umraniye,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
958,Tuzla,İçmeler Şehit Yüksel Taşpinar Aile Sağliği Merkezi,Aile Sağliği Merkezi,Seyit Onbaşi Cad. No:28 İÇMELER/TUZLA,No,0.0,,İçmeler,40.84762326800006,29.30486794800004,Tuzla,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
959,Esenler,Ferhatpaşa Aile Sağliği Merkezi,Aile Sağliği Merkezi,Mehmetçik Sk. No:55 YAVUZ SELİM/ESENLER,No,0.0,,Yavuz Selim,41.03540416300007,28.893212328000057,Esenler,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
960,Ümraniye,İmes Dudullu 2 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,OSB E 506. Sk. No:1 ESENŞEHİR/ÜMRANİYE,No,0.0,,Esenşehir,41.00151622200008,29.16075202200005,Umraniye,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
961,Şişli,Diş Hekimi Gamze Kütahyali Parmaksiz,Muayenehane,Abide-i Hürriyet Cad. No:46 MERKEZ/ŞİŞLİ,,,,Merkez,41.056669903000056,28.98568966000005,Sisli,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
962,Üsküdar,Üsküdar Verem Savaş Dispanseri,Verem Savaş Dispanseri,Bestekar Selahattin Pinar Sk. No:17 SALACAK/ÜSKÜDAR,,0.0,No,Salacak,41.01800407400003,29.01193072800004,Uskudar,Public,No,Tuberculosis Dispensary,Verem Savaş Disp.,Tuberculosis Dispensary,specialized
963,Ataşehir,Esatpaşa Aile Sağliği Merkezi,Aile Sağliği Merkezi,Hacibekir Cad. No:42 ESATPAŞA/ATAŞEHİR,No,0.0,,Esatpaşa,41.002585103000065,29.086529895000073,Atasehir,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
964,Küçükçekmece,Diş Hekimi Fevzi Atasoy,Muayenehane,Güray Sk. No:1 SULTAN MURAT/KÜÇÜKÇEKMECE,,,,Sultan Murat,41.002213090000055,28.787731612000073,Kucukcekmece,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
965,Kağıthane,Talatpaşa Aile Sağliği Merkezi,Aile Sağliği Merkezi,Zeybek Sk. No: TALATPAŞA/KAÐITHANE,No,0.0,,Talatpaşa,41.06238411200008,28.96127394400003,Kagithane,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
966,Şişli,Diş Hekimi Zühre Okkali,Muayenehane,Cebel Topu Sk. No:5 İNÖNÜ/ŞİŞLİ,,,,İnönü,41.04560732500005,28.985781770000077,Sisli,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
967,Fatih,Fatih 10 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Sofali Çeşme Cad. No:98 KARAGÜMRÜK/FATİH,No,0.0,,Karagümrük,41.02387058700003,28.93543104400004,Fatih,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
969,Fatih,Özel Hekimoğlu Görüntülemeve Tani Merkezi,Görüntüleme Merkezi,Turgut Özal Millet Cad. No:71 ŞEHREMİNİ/FATİH,,,,Şehremini,41.012117666000044,28.93871986900007,Fatih,Private,No,Screening Center,Görüntüleme M.,Screening C.,specialized
970,Avcılar,Yeşilkent 2 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Birlik Cad. No:2 YEŞİLKENT/AVCILAR,No,0.0,,Yeşilkent,41.038456017000044,28.701441580000054,Avcilar,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
971,Bahçelievler,Özel Betatom Emar Görüntüleme ve Tani Merkezi,Görüntüleme Merkezi,İzzettin Çalişlar Cad. No:40 BAHÇELİEVLER/BAHÇELİEVLER,,,,Bahçelievler,41.00077525900008,28.87022994800003,Bahcelievler,Private,No,Screening Center,Görüntüleme M.,Screening C.,specialized
972,Beşiktaş,Özel Levent Ege Polikliniği,Poliklinik,Aytar Cad. No:21 NİSBETİYE/BEŞİKTAŞ,No,0.0,,Nisbetiye,41.07522639000007,29.018351336000023,Besiktas,Private,No,Polyclinic,Poliklinik,Polyclinic,hospital level
973,Beşiktaş,Sinanpaşa Aile Sağliği Merkezi,Aile Sağliği Merkezi,Sinanpaşa Köprüsü Sk. No:13 SİNANPAŞA/BEŞİKTAŞ,No,0.0,,Sinanpaşa,41.04288377900008,29.003010270000058,Besiktas,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
974,Gaziosmanpaşa,Özel Dentista Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Aralik Sk. No:122B SARIGÖL/GAZİOSMANPAŞA,,0.0,,Sarigöl,41.057831183000076,28.92028082400003,Gaziosmanpasa,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
976,Beşiktaş,Özel Nöropsikiyatri Sağlik Uygulama ve Araştirma Merkezi Etiler Polikliniği,Poliklinik,Nisbetiye Cad. No:19 LEVENT/BEŞİKTAŞ,No,0.0,,Levent,41.076327486000025,29.020235730000024,Besiktas,Private,No,Polyclinic,Poliklinik,Polyclinic,hospital level
977,Gaziosmanpaşa,Şükriye Kaan Aile Sağliği Merkezi,Aile Sağliği Merkezi,General Aldoğan Cad. No:76A KARADENİZ/GAZİOSMANPAŞA,No,0.0,,Karadeniz,41.07984300000004,28.88708500000007,Gaziosmanpasa,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
979,Beşiktaş,Özel Wonderdent Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Selvili Sk. No:5 KONAKLAR/BEŞİKTAŞ,,,,Konaklar,41.08645152100007,29.00834138800008,Besiktas,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
980,Gaziosmanpaşa,Gaziosmanpaşa Toplum Sağliği Merkezi,Toplum Sağliği Merkezi,Abdi İpekçi Cad. KARAYOLLARI/GAZİOSMANPAŞA,,,No,Karayollari,41.08593022000008,28.90544438300003,Gaziosmanpasa,Public,No,Public Health Center,Toplum Sağlığı M.,Public Health C.,low level
982,Beşiktaş,Dog Cat Veteriner Kliniği,Veteriner,Manolya Sk. No:6 BEBEK/BEŞİKTAŞ,,0.0,No,Bebek,41.07756972300007,29.042844755000033,Besiktas,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
984,Beşiktaş,Beşiktaş Veteriner Kliniği,Veteriner,Misirlibahçe Sk. No:10 TÜRKALİ/BEŞİKTAŞ,,0.0,No,Türkali,41.04497383300003,29.002450001000057,Besiktas,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
985,Bakırköy,Özel Acibadem Hastanesi Bakirköy,Hastane,Halit Ziya Uşakligil Cad. No:1 ZEYTİNLİK/BAKIRKÖY,Yes,102.0,Yes,Zeytinlik,40.977644465000026,28.872729316000058,Bakirkoy,Private,No,Hospital,Hastane,Hospital,hospital level
986,Zeytinburnu,Özel Yedikule Nöropsikiyatri Tip Merkezi,Tip Merkezi,Balikli Kazliçeşme Yolu Sk. No:63A TELSİZ/ZEYTİNBURNU,No,,Yes,Telsiz,40.99955926000007,28.91563711200007,Zeytinburnu,Private,No,Medical Center,Tıp M.,Medical C.,hospital level
987,Bağcılar,Özel Dolunay Sağlik Hizmetleri,Sağlik Kabini,Güngören Cad. No:4 MERKEZ/BAÐCILAR,,,,Merkez,41.033088347000046,28.86332027800006,Bagcilar,Private,No,Health Cabin,Sağlık Kabini,HealtH Cabin,low level
988,Bahçelievler,Diş Hekimi Mehmet Takunyaci,Muayenehane,Ferit Selimpaşa Cad. No:9A SİYAVUŞPAŞA/BAHÇELİEVLER,,,,Siyavuşpaşa,41.001857809000064,28.860085867000066,Bahcelievler,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
989,Maltepe,Diş Hekimi Ulaş Kar,Muayenehane,Eski Üsküdar Cad. No:51B GÜLSUYU/MALTEPE,,,,Gülsuyu,40.92789916300006,29.158459054000048,Maltepe,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
990,Sultanbeyli,Altintepe Aile Sağliği Merkezi,Aile Sağliği Merkezi,Fedai Sk. No:2 BATTALGAZİ/SULTANBEYLİ,No,0.0,,Battalgazi,40.98472251600003,29.27852265200005,Sultanbeyli,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
991,Sultanbeyli,Özel Aydosdiş Ağiz ve Diş Sağliği Merkezi,Ağiz ve Diş Sağliği Merkezi,Cihan Cad. No:31 ORHANGAZİ/SULTANBEYLİ,,,,Orhangazi,40.938203599000076,29.28570043900004,Sultanbeyli,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
992,Arnavutköy,Arnavutköy Devlet Hastanesi Hadimköy Semt Polikliniği,Poliklinik,Çarşamba Sk. No:3 HADIMKÖY/ARNAVUTKÖY,No,0.0,,Hadimköy,41.15631985400006,28.624864942000045,Arnavutkoy,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
994,Maltepe,Maltepe 22 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Servet Sk. FINDIKLI/MALTEPE,No,0.0,,Findikli,40.964422196000044,29.12130936500006,Maltepe,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
995,Sultangazi,Özel Gazi Hastanesi,Hastane,1406. Sk. No:27 YUNUS EMRE/SULTANGAZİ,Yes,29.0,Yes,Yunus Emre,41.101031162000034,28.89866197300006,Sultangazi,Private,No,Hospital,Hastane,Hospital,hospital level
997,Sultangazi,Yayla Asef Çoban Aile Sağliği Merkezi,Aile Sağliği Merkezi,Yayla Bulvari No:71A YAYLA/SULTANGAZİ,No,0.0,,Yayla,41.14848773200004,28.852089772000056,Sultangazi,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
998,Maltepe,Maltepe Belediye Başkanliği Ek Hizmet Binasi Polikliniği,Poliklinik,Hendek Çikmazi FEYZULLAH/MALTEPE,No,0.0,,Feyzullah,40.93498618600006,29.122849188000032,Maltepe,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
999,Sultanbeyli,Ali Mehmet Ceylan Aile Sağliği Merkezi,Aile Sağliği Merkezi,Kandira Sk. No:23 AKŞEMSETTİN/SULTANBEYLİ,No,0.0,,Akşemsettin,40.94854908600007,29.298381949000028,Sultanbeyli,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1000,Sancaktepe,Osmangazi Taşpinar Aile Sağliği Merkezi,Aile Sağliği Merkezi,Karayağiz Sk. No:55 OSMANGAZİ/SANCAKTEPE,No,0.0,,Osmangazi,40.991151900000034,29.24577931100004,Sancaktepe,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1001,Gaziosmanpaşa,Diş Hekimi Derya Öznam,Muayenehane,1034. Sk. No:34A BARBAROS HAYRETTİN PAŞA/GAZİOSMANPAŞA,,,,Barbaros Hayrettin Paşa,41.07488862300004,28.88838663900003,Gaziosmanpasa,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
