institution_id,district_tr,institution_name,institution_type,address,icu,n#_beds,ambulance,neighborhood_tr,latitude,longitude,district_eng,private_or_public,related_to_htourism,institution_type_eng,institution_type_abbrv_tr,institution_type_abbrv_eng,care_type
1830,Sarıyer,Bahçeköy Sabri Artam Vakfi Toplum Ruh Sağliği Merkezi,Tani Tedavi Merkezleri,Valide Sultan Cad. No:34 BAHÇEKÖY MERKEZ/SARIYER,,0.0,,Bahçeköy Merkez,41.182418659000064,28.989342861000072,Sariyer,Private,No,Early Diagnosis and Therapy Center,Tanı Tedavi M.,Early Diagnosis and Therapy C.,specialized
1831,Sarıyer,Diş Hekimi Handan Yildir,Muayenehane,Meserburnu Cad. No:91 MERKEZ/SARIYER,,,,Sariyer Merkez,41.16688858100008,29.05697511700004,Sariyer,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
1832,Sarıyer,Sariyer Verem Savaş Dispanseri,Verem Savaş Dispanseri,Orta Çeşme Cad. No:45 MERKEZ/SARIYER,,0.0,No,Sariyer Merkez,41.17053134600008,29.056643189000052,Sariyer,Public,No,Tuberculosis Dispensary,Verem Savaş Disp.,Tuberculosis Dispensary,specialized
1834,Şişli,Şişli Belediyesi Zihinsel Özürlüler Rehabilitasyon Merkezi,Fizik Tedavi Merkezi,Vefa Poyraz Cad. No:18 İZZET PAŞA/ŞİŞLİ,No,0.0,No,İzzet Paşa,41.068828963000044,28.987761782000064,Sisli,Public,No,Physical Therapy Center,Fizik Tedavi M.,Physical Therapy C.,specialized
1835,Esenler,Özel Kemal Avrasya Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Mercan Cad. No:2 NİNE HATUN/ESENLER,No,0.0,No,Nine Hatun,41.03878718300007,28.87866944700005,Esenler,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1836,Bakırköy,Özel Yaşar Hastanesi Diyaliz Merkezi,Diyaliz Merkezi,İncirli Cad. No:22 KARTALTEPE/BAKIRKÖY,,,Yes,Kartaltepe,40.98381937700003,28.87268867800003,Bakirkoy,Private,No,Dialysis Center,Diyaliz M.,Dialysis C.,specialized
1838,Büyükçekmece,Büyükçekmece Merkez Aile Sağlik Merkezi,Aile Sağliği Merkezi,Nutuk Cad. No:4 DİZDARİYE/BÜYÜKÇEKMECE,No,0.0,,Dizdariye,41.020366184000075,28.57872757900003,Buyukcekmece,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1840,Kartal,Tuzla Devlet Hastanesine Bağli Taşocaklari Ek Hizmet Binasi,Poliklinik,Muallim Sedatbey Sk. No:3/2 ESENTEPE/KARTAL,Yes,105.0,,Esentepe,40.901541141000045,29.20360358600004,Kartal,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
1841,Üsküdar,Özel Dora Ağiz ve Diş Sağliği Merkezi,Ağiz ve Diş Sağliği Merkezi,Selami Değirmeni Sk. No:2 MURATREİS/ÜSKÜDAR,No,0.0,No,Muratreis,41.022329623000076,29.03558978500007,Uskudar,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1843,Gaziosmanpaşa,Pets Life Veteriner Kliniği,Veteriner,Ordu Cad. No:143-145 YENİDOÐAN/GAZİOSMANPAŞA,,0.0,No,Yenidoğan,41.05824794700004,28.924644380000075,Gaziosmanpasa,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
1844,Beşiktaş,Özel Fulya Açik Emar,Görüntüleme Merkezi,Yeşilçimen Sk. No:9 DİKİLİTAŞ/BEŞİKTAŞ,,,,Dikilitaş,41.057988352000045,29.001644143000078,Besiktas,Private,No,Screening Center,Görüntüleme M.,Screening C.,specialized
1845,Beşiktaş,Özel Uzmanlar Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Ihlamurdere Cad. No:92 TÜRKALİ/BEŞİKTAŞ,,,,Türkali,41.04715605500007,29.00246936300005,Besiktas,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1846,Çatalca,Türk Kizilayi Çatalca Şubesi,Kizilay,Topuklu Cad. No:20 KALEİÇİ/ÇATALCA,,,No,Kaleiçi,41.14289955600003,28.458525040000037,Catalca,Public,No,Turkish Red Crescent,Kızılay,Turkish Red Crescent,not specified
1847,Sarıyer,Diş Hekimi Sami Akpinar,Muayenehane,Adnan Menderes Cad. No:23 BAHÇEKÖY MERKEZ/SARIYER,,,,Bahçeköy Merkez,41.17868043900006,28.99213601900005,Sariyer,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
1848,Çatalca,Özel Çağdaş Beşparmak Sağlik Kabini,Sağlik Kabini,Atatürk Cad. No:1A FERHATPAŞA/ÇATALCA,,,,Ferhatpaşa,41.141868827000046,28.462780640000066,Catalca,Private,No,Health Cabin,Sağlık Kabini,HealtH Cabin,low level
1849,Sarıyer,Özel Sariyer Diyaliz Merkezi,Diyaliz Merkezi,Nar Çiçeği Sk. No:3 YENİKÖY/SARIYER,,,Yes,Yeniköy,41.122640071000035,29.05439036200005,Sariyer,Private,No,Dialysis Center,Diyaliz M.,Dialysis C.,specialized
1850,Çatalca,Kestanelik Aile Sağliği Merkezi,Aile Sağliği Merkezi,Dispanser Sk. No:18 KESTANELİK/ÇATALCA,No,0.0,,Kestanelik,41.23722169100006,28.496000910000078,Catalca,Public,Yes,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1851,Sarıyer,Sariyer 4 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Çayirbaşi Cad. No:79 BÜYÜKDERE/SARIYER,No,0.0,,Büyükdere,41.15895708100004,29.038042715000078,Sariyer,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1853,Zeytinburnu,Zeytinburnu 5 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Seyitnizam Cad. No:9A SEYİTNİZAM/ZEYTİNBURNU,Yes,0.0,,Seyitnizam,41.00387973100004,28.902807325000023,Zeytinburnu,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1856,Zeytinburnu,Özel Yedikule Surp Pirgiç Ermeni Hastanesi,Hastane,Zakirbaşi Sk. No: KAZLIÇEŞME/ZEYTİNBURNU,Yes,121.0,Yes,Kazliçeşme,40.99369204100003,28.915055689000038,Zeytinburnu,Private,No,Hospital,Hastane,Hospital,hospital level
1858,Ataşehir,Özel DentGroupAğiz ve Diş Sağliği Polikliniği Ataşehir ,Ağiz ve Diş Sağliği Merkezi,Halk Cad. No:22-24 BARBAROS/ATAŞEHİR,,,,Barbaros,40.98754391200004,29.10015064300007,Atasehir,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1859,Bahçelievler,Özel Medical Park Hastanesi Bahçelievler,Hastane,Kültür Sk. No:1 BAHÇELİEVLER/BAHÇELİEVLER,Yes,242.0,Yes,Bahçelievler,40.99578041800004,28.86320080300004,Bahcelievler,Private,No,Hospital,Hastane,Hospital,hospital level
1861,Pendik,Özel Kaynarca Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Deniz Cad. No:38 KAYNARCA/PENDİK,,,,Kaynarca,40.876534284000066,29.259710778000056,Pendik,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1862,Bağcılar,75. Yil Evren Mahallesi Aile Sağliği Merkezi,Aile Sağliği Merkezi,Cami Yolu Cad. No:66 EVREN/BAÐCILAR,No,0.0,,15 Temmuz,41.03973605800008,28.81695318300007,Bagcilar,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1863,Avcılar,Özel FMC İstanbul Avcilar 2 Diyaliz Merkezi,Diyaliz Merkezi,Yoğurtçu Sk. No:197/1 CİHANGİR/AVCILAR,,40.0,No,Cihangir,40.98782582600006,28.71593182700008,Avcilar,Private,No,Dialysis Center,Diyaliz M.,Dialysis C.,specialized
1864,Bahçelievler,Bahçelievler 9 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Mustafa Kemalpaşa Cad. No:2J SİYAVUŞPAŞA/BAHÇELİEVLER,Yes,0.0,,Siyavuşpaşa,41.00363787400005,28.851980381000036,Bahcelievler,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1865,Avcılar,Kirazli Aile Sağliği Merkezi,Aile Sağliği Merkezi,Kirazli Cad. No:55 CİHANGİR/AVCILAR,No,0.0,,Cihangir,40.98732571200003,28.710284314000035,Avcilar,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1866,Güngören,Güngören Ağiz ve Diş Sağliği Merkezi,Ağiz ve Diş Sağliği Merkezi,Ünlü Sk. No:4 MERKEZ/GÜNGÖREN,No,46.0,,Merkez,41.021823912000066,28.870755127000052,Gungoren,Public,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1867,Bakırköy,Özel Biodent Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,İncirli Cad. No:24 KARTALTEPE/BAKIRKÖY,,,,Kartaltepe,40.98393955300003,28.872742833000075,Bakirkoy,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1869,Bahçelievler,İç Hastaliklari Uzmani Dr Gürkan Kubilay,Muayenehane,Naci Kasim Sk. No:1 BAHÇELİEVLER/BAHÇELİEVLER,,,,Bahçelievler,41.006227168000066,28.870957235000052,Bahcelievler,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
1870,Küçükçekmece,Diş Hekimi Necmi Pekmeci,Muayenehane,Bağlar Cad. No:1-3 GÜLTEPE/KÜÇÜKÇEKMECE,,,,Gültepe,40.994940590000056,28.791180600000075,Kucukcekmece,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
1871,Bayrampaşa,Bayrampaşa 1 Nolu Acil Sağlik Hizmetleri İstasyonu,Acil Yardim İstasyonu,Abdi İpekçi Cad. No:167 YENİDOÐAN/BAYRAMPAŞA,No,3.0,Yes,Yenidoğan,41.04780892400004,28.913410629000047,Bayrampasa,Public,No,First Aid Station,Acil Yardım İst.,First Aid Station,not specified
1872,Şişli,İstanbul Üniversitesi-Cerrahpaşa Florence Nightingale Hemşirelik Fakültesi,Hastane,Abide-i Hürriyet Cad. No:164E İZZET PAŞA/ŞİŞLİ,Yes,219.0,Yes,İzzet Paşa,41.06968835700008,28.984103498000025,Sisli,Private,No,Hospital,Hastane,Hospital,hospital level
1873,Pendik,Murat Uçkan Aile Sağliği Merkezi,Aile Sağliği Merkezi,Estergon Sk. No:14 SAPAN BAÐLARI/PENDİK,No,0.0,,Sapan Bağlari,40.88777699500002,29.21951996900003,Pendik,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1876,Bahçelievler,Diş Hekimi Orkun Sosyaltürk,Muayenehane,Adnan Kahveci Bulvari No:91 BAHÇELİEVLER/BAHÇELİEVLER,,,,Bahçelievler,41.00165100000004,28.863473000000052,Bahcelievler,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
1878,Bakırköy,Özel Açik Emar Görüntüleme Merkezi,Görüntüleme Merkezi,Yüce Tarla Cad. No:67 ZUHURATBABA/BAKIRKÖY,,,,Zuhuratbaba,40.99176582200005,28.86979539800007,Bakirkoy,Private,No,Screening Center,Görüntüleme M.,Screening C.,specialized
1879,Zeytinburnu,Zeytinburnu Semiha Şakir Huzurevi,Huzurevi,İmam Hatip Yolu Sk. No:6 KAZLIÇEŞME/ZEYTİNBURNU,,,No,Kazliçeşme,41.00316444400005,28.91700547800008,Zeytinburnu,Public,No,Elderly Care Facility,Huzurevi,Elderly Care Fac.,not specified
1880,Beşiktaş,Felis Veteriner Kliniği,Veteriner,Seheryildizi Sk. No:40 ETİLER/BEŞİKTAŞ,,0.0,No,Etiler,41.08544820700007,29.034061364000024,Besiktas,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
1881,Beşiktaş,Beşiktaş Toplum Sağliği Merkezi,Toplum Sağliği Merkezi,Asariye Cad. No:77 YILDIZ/BEŞİKTAŞ,,,No,Yildiz,41.04367445200006,29.013208504000033,Besiktas,Public,No,Public Health Center,Toplum Sağlığı M.,Public Health C.,low level
1883,Beşiktaş,Özel Esteworld Plastik Cerrahi Hastanesi,Hastane,Aydin Sk. No:1 NİSBETİYE/BEŞİKTAŞ,Yes,12.0,No,Nisbetiye,41.07242234200004,29.018478130000066,Besiktas,Private,Yes,Hospital,Hastane,Hospital,hospital level
1884,Beşiktaş,Özel My Dent Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Barbaros Bulvari No:55 CİHANNÜMA/BEŞİKTAŞ,,,,Cihannüma,41.04665208500006,29.007330246000038,Besiktas,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1886,Beşiktaş,Özel Yeditepe Üniversitesi Göz Hastanesi,Göz Merkezi,Gazi Umur Paşa Sk. No:28 BALMUMCU/BEŞİKTAŞ,,3.0,,Balmumcu,41.060262444000045,29.012208361000038,Besiktas,Private,No,Ophthalmology Center,Göz M.,Ophthalmology C.,specialized
1887,Beşiktaş,Özel Güzel Günler Polikliniği,Poliklinik,Güllü Sk. No:4 LEVENT/BEŞİKTAŞ,No,0.0,,Levent,41.08589816300002,29.01851814300005,Besiktas,Private,No,Polyclinic,Poliklinik,Polyclinic,hospital level
1888,Beşiktaş,Pupila Veteriner Kiliniği,Veteriner,Yanarsu Sk. No:18/1 ETİLER/BEŞİKTAŞ,,0.0,No,Etiler,41.084900490000045,29.034957097000074,Besiktas,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
1889,Gaziosmanpaşa,Karayollari Aile Sağliği Merkezi,Aile Sağliği Merkezi,615. Sk. No:1B KARAYOLLARI/GAZİOSMANPAŞA,No,0.0,,Karayollari,41.08540251800008,28.89856706100005,Gaziosmanpasa,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1890,Çekmeköy,La Fontaine Veteriner Kliniği,Veteriner,Said Nursi Cad. No:2 HAMİDİYE/ÇEKMEKÖY,,0.0,No,Hamidiye,41.02817667500005,29.18913323400005,Cekmekoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
1891,Beykoz,Özel Medibey Cerrahi Tip Merkezi,Tip Merkezi,Çayir Cad. No:178 ORTAÇEŞME/BEYKOZ,Yes,,Yes,Ortaçeşme,41.146102857000066,29.087377993000075,Beykoz,Private,No,Medical Center,Tıp M.,Medical C.,hospital level
1892,Büyükçekmece,Özel Kozan Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Mustafa Kemal Bulvari No:22B MİMAROBA/BÜYÜKÇEKMECE,,,,Mimaroba,41.006735811000055,28.538812807000056,Buyukcekmece,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1893,Kartal,Tuzla Devlet Hastanesine Bağli Acil Poliklinik Hizmet Binasi,Hastane,İstasyon Cad. No:13 YUKARI/KARTAL,Yes,256.0,No,Yukari,40.888302181000036,29.18223191300007,Kartal,Public,No,Hospital,Hastane,Hospital,hospital level
1894,Çekmeköy,Özel Superdent Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Mimar Sinan Cad. No:17B MİMAR SİNAN/ÇEKMEKÖY,,,,Mimar Sinan,41.03283974100003,29.17572587700005,Cekmekoy,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1897,Maltepe,Maltepe 24 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Yakacik Yolu No: BÜYÜKBAKKALKÖY/MALTEPE,No,0.0,,Büyükbakkalköy,40.96520937300004,29.20659869600007,Maltepe,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1898,Beykoz,Beykoz Devlet Hastanesi Toplum Ruh Sağliği Merkezi,Poliklinik,Sultan Aziz Cad. No:111 TOKATKÖY/BEYKOZ,No,0.0,,Tokatköy,41.15386857800007,29.093603055000077,Beykoz,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
1899,Beşiktaş,Beşiktaş 6 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Meydan Cad. No:6B AKAT/BEŞİKTAŞ,No,0.0,,Akat,41.07845918800007,29.023710967000056,Besiktas,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1900,Beşiktaş,Beşiktaş 1 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Gönenoğlu Sk. No:10 GAYRETTEPE/BEŞİKTAŞ,No,0.0,,Gayrettepe,41.06485256600007,29.007588207000023,Besiktas,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1901,Gaziosmanpaşa,Özel Via Dental Diş Polikliniği,Ağiz ve Diş Sağliği Merkezi,Kemalpaşa Cad. No:9 KARAYOLLARI/GAZİOSMANPAŞA,,,,Karayollari,41.08660402200008,28.901840682000056,Gaziosmanpasa,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1902,Sultanbeyli,Özel Ersoy Hastanesi Sultanbeyli,Hastane,Cahar Dudayev Sk. No:3 MEHMET AKİF/SULTANBEYLİ,Yes,47.0,Yes,Mehmet Akif,40.96683709800004,29.269436424000048,Sultanbeyli,Private,No,Hospital,Hastane,Hospital,hospital level
1903,Beşiktaş,Veterinerium,Veteriner,Beyazkaranfil Sk. No:34 LEVENT/BEŞİKTAŞ,,0.0,No,Levent,41.08463019900006,29.012633006000048,Besiktas,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
1904,Sultangazi,Özel Toplum Cerrahi Tip Merkezi,Tip Merkezi,İsmetpaşa Cad. No:44A GAZİ/SULTANGAZİ,Yes,8.0,Yes,Gazi,41.102712501000035,28.898206238000054,Sultangazi,Private,No,Medical Center,Tıp M.,Medical C.,hospital level
1905,Eyüpsultan,Eyüpsultan Devlet Hastanesi Kemerburgaz Semt Polikliniği,Poliklinik,Dispanser Sk. No:17 MİTHATPAŞA/EYÜPSULTAN,No,0.0,,Mithatpaşa,41.158898374000046,28.91133952900003,Eyupsultan,Public,No,Polyclinic,Poliklinik,Polyclinic,hospital level
1907,Eyüpsultan,Eyüpsultan 4 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Eyüp Sultan Bulvari No:65 TOPÇULAR/EYÜPSULTAN,No,0.0,,Topçular,41.03959392000007,28.926516477000064,Eyupsultan,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1908,Şişli,Diş Hekimi Mari Şemme Değirmenci,Muayenehane,Ergenekon Cad. No:63 DUATEPE/ŞİŞLİ,,,,Duatepe,41.05268956000003,28.98396408600007,Sisli,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
1910,Kadıköy,Myvet Veteriner Kliniği,Veteriner,Ayçil Sk. No:24 KOZYATAÐI/KADIKÖY,,0.0,No,Kozyataği,40.96425224800004,29.093286241000047,Kadikoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
1912,Beyoğlu,Özel Dr. Osman Köklü Tip Merkezi,Tip Merkezi,Kasimpaşa Zincirlikuyu Cad. No:2 KÜÇÜK PİYALE/BEYOÐLU,No,,Yes,Küçük Piyale,41.03439033100005,28.967006569000034,Beyoglu,Private,No,Medical Center,Tıp M.,Medical C.,hospital level
1913,Başakşehir,Başakşehir 15 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Albayrak Sk. No:4 KAYABAŞI/BAŞAKŞEHİR,No,0.0,,Kayabaşi,41.10593091700008,28.770172727000045,Basaksehir,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1914,Başakşehir,Çocuk Sağliği ve Hastaliklari Uzmani Dr. Serap Gülçür,Muayenehane,Süzer Bulvari No:10 BAHÇEŞEHİR 1. KISIM/BAŞAKŞEHİR,,,,Bahçeşehir 1. Kisim,41.06358540100007,28.686332367000038,Basaksehir,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
1915,Beylikdüzü,Özel Kaledent Ağiz ve Diş Sağliği Merkezi,Ağiz ve Diş Sağliği Merkezi,Kişla Cad. No:32 /1 ADNAN KAHVECİ/BEYLİKDÜZÜ,,,,Adnan Kahveci,41.00306499800007,28.634499731000066,Beylikduzu,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1916,Beylikdüzü,80. Yil Aile Sağliği Merkezi,Aile Sağliği Merkezi,Palmiye Sk. No:3 BARIŞ/BEYLİKDÜZÜ,No,0.0,,Bariş,40.99946020500005,28.64907996000005,Beylikduzu,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1917,Beylikdüzü,Özel Evrensel Ağiz Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Atatürk Bulvari No:38A BÜYÜKŞEHİR/BEYLİKDÜZÜ,,,,Büyükşehir,41.000161161000044,28.645289719000058,Beylikduzu,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1919,Bakırköy,Bakirköy 13 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,Alemdarlar Sk. No:1 KARTALTEPE/BAKIRKÖY,No,0.0,,Kartaltepe,40.985479677000065,28.878680388000078,Bakirkoy,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1920,Pendik,Özel Boğaziçi Diyaliz Merkezi,Diyaliz Merkezi,Sahil Bulvari No:49 KAYNARCA/PENDİK,,,No,Kaynarca,40.86691868400004,29.268232315000034,Pendik,Private,No,Dialysis Center,Diyaliz M.,Dialysis C.,specialized
1921,Bakırköy,Öztay Veteriner Klübü,Veteriner,İsmail Erez Bulvari No:4 OSMANİYE/BAKIRKÖY,,0.0,No,Osmaniye,40.99533760500003,28.88656133300003,Bakirkoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
1922,Zeytinburnu,Çirpici Aile Sağliği Merkezi,Aile Sağliği Merkezi,2. Taşocaği Sk. No:20A ÇIRPICI/ZEYTİNBURNU,No,0.0,,Çirpici,40.99978730500004,28.89621088200005,Zeytinburnu,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1923,Bağcılar,Bağcilar 12 Nolu Aile Sağliği Merkezi,Aile Sağliği Merkezi,1583. Sk. No:8A YENİMAHALLE/BAÐCILAR,No,0.0,,Yenimahalle,41.04043620600004,28.844590313000026,Bagcilar,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1924,Pendik,Özel Bölge Hastanesi Pendik,Hastane,Nevbahar Sk. No: DOÐU/PENDİK,Yes,123.0,Yes,Doğu,40.88287913400006,29.24556404200007,Pendik,Private,No,Hospital,Hastane,Hospital,hospital level
1925,Bağcılar,Diş Hekimi Murat Salik,Muayenehane,Barbaros Cad. No:2 100. YIL/BAÐCILAR,,,,100. Yil,41.05986600000005,28.85462900000005,Bagcilar,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
1926,Eyüpsultan,İBB Evde Sağlik Hizmetleri,Evde Bakim Merkezleri,Bostan Araliği No:3 TOPÇULAR/EYÜPSULTAN,,0.0,No,Topçular,41.029758525000034,28.927674291000077,Eyupsultan,Public,No,Domiciliary Care Center,Evde Bakım M.,Domiciliary Care C.,low level
1927,Eyüpsultan,Eyüpsultan Ana Çocuk Sağliği ve Aile Planlama Merkezi,Ana Çocuk Sağliği ve Aile Planlama Merkezi,Alperen Cad. No:41 AKŞEMSETTİN/EYÜPSULTAN,No,0.0,,Akşemsettin,41.08432095200004,28.922668461000058,Eyupsultan,Public,No,Planned Parenthood Center,Aile Planlama M.,Planned Parenthood C.,low level
1929,Ataşehir,Çağdaş Yaşli Bakim Merkezi,Bakim Evi,Kayişdaği Cad. No:226 İNÖNÜ/ATAŞEHİR,,51.0,No,İnönü,40.97818641300007,29.139750238000037,Atasehir,Public,No,Nursing House,Bakımevi,Nursing House,not specified
1930,Avcılar,Özel Doğuş Tip Merkezi,Tip Merkezi,Fatih Sk. No:12 MERKEZ/AVCILAR,Yes,,No,Merkez,40.97909892100006,28.72276005800007,Avcilar,Private,No,Medical Center,Tıp M.,Medical C.,hospital level
1931,Beylikdüzü,Özel Medilife Dent Ağiz Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,67. Sk. No:1 YAKUPLU/BEYLİKDÜZÜ,,,,Yakuplu,41.00624473100004,28.662367312000068,Beylikduzu,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1932,Silivri,Selimpaşa Aile Sağliği Merkezi,Aile Sağliği Merkezi,Kadir Has Cad. No:14 SELİMPAŞA/SİLİVRİ,No,0.0,,Selimpaşa,41.05538122600007,28.367179945000032,Silivri,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1933,Sarıyer,Green Pet Veteriner Kliniği,Veteriner,Sariyer Cad. No:99/1 POLİGON/SARIYER,,0.0,No,Poligon,41.12140404400003,29.04063759900004,Sariyer,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
1934,Sarıyer,Özel Stoma Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Adnan Kahveci Cad. No:46A FERAHEVLER/SARIYER,,,,Ferahevler,41.13016304100006,29.041687797000066,Sariyer,Private,No,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1935,Sarıyer,Diş Hekimi İnciser Yapici,Muayenehane,Yeni Mahalle Cad. No:48A MERKEZ/SARIYER,,,,Sariyer Merkez,41.169514305000064,29.058236640000075,Sariyer,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
1936,Sarıyer,Özel Enhar Tip Merkezi,Tip Merkezi,Araba Yolu Cad. No:47 CUMHURİYET/SARIYER,No,,No,Cumhuriyet,41.145524541000036,29.032609660000052,Sariyer,Private,No,Medical Center,Tıp M.,Medical C.,hospital level
1937,Sarıyer,Diş Hekimi Saniye Mecitoğlu,Muayenehane,Dereiçi Sk. No:11 TARABYA/SARIYER,,,,Tarabya,41.13748620000007,29.053208269000038,Sariyer,Public,No,Doctor's Office,Muayenehane,Doctor's Office,not specified
1938,Silivri,Silivri 6 Nolu Cezaevi Aile Sağliği Merkezi,Aile Sağliği Merkezi,Çanta Cad. No:162F SEMİZKUMLAR/SİLİVRİ,No,0.0,,Semizkumlar,41.09092185100008,28.15155872400004,Silivri,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1939,Sarıyer,İsmail Bilgin Aile Sağliği Merkezi,Aile Sağliği Merkezi,Balaban Dere Cad. No:190 PINAR/SARIYER,No,0.0,,Pinar,41.12085830300003,29.03684725500005,Sariyer,Public,No,Family Health Center,Aile Sağlığı M.,Family Health C.,low level
1940,Silivri,Özel Silivri Estetik Ağiz ve Diş Sağliği Polikliniği,Ağiz ve Diş Sağliği Merkezi,Aziz Sk. No:5 ALİBEY/SİLİVRİ,,,,Alibey,41.07391090200008,28.24890332700005,Silivri,Private,Yes,Dental Health Center,Ağız Diş Sağlığı M.,Dental Health C.,specialized
1941,Fatih,Özel Ornöram Fizik Tedavi ve Rehabilitasyon Merkezi Çapa,Fizik Tedavi Merkezi,Necip Asim Sk. No:22 ŞEHREMİNİ/FATİH,No,0.0,No,Şehremini,41.01362950200007,28.93402746400005,Fatih,Private,No,Physical Therapy Center,Fizik Tedavi M.,Physical Therapy C.,specialized
1942,Kadıköy,Lucky Veteriner Kliniği,Veteriner,Osman Nuri Ergin Sk. No:9 SAHRAYICEDİT/KADIKÖY,,0.0,No,Sahrayicedit,40.98281259400005,29.083838345000057,Kadikoy,Public,No,Veterinary Clinic,Veteriner,Veterinary Cli.,not specified
